Z,D,Y,M,Q
1,0,1,1,551.0
1,1,1,0,43.0
1,0,1,0,92.0
1,0,1,1,190.0
1,1,1,1,
1,0,1,0,3.0
1,0,0,0,33.0
1,0,0,0,
1,0,1,1,31.0
1,0,1,1,48.0
1,0,1,1,
1,0,1,1,70.0
1,0,1,0,
1,0,0,0,
1,1,1,0,
1,1,1,0,37.0
1,0,1,1,
1,0,1,0,258.0
1,1,1,0,4.0
0,0,1,0,
1,1,1,1,178.0
1,0,0,0,17.0
1,0,1,0,50.0
1,1,1,1,
1,1,1,0,4.0
1,0,1,0,67.0
1,0,1,1,4.0
1,0,1,0,
1,0,0,0,
1,1,1,0,42.0
1,0,0,0,278.0
1,0,1,1,
1,0,1,1,53.0
1,1,0,0,8.0
1,0,0,1,74.0
1,0,1,1,
1,1,1,0,4.0
1,1,1,0,8.0
1,1,1,0,59.0
1,0,0,0,240.0
1,0,1,0,34.0
1,0,0,0,41.0
0,1,1,1,
1,1,0,0,585.0
1,0,1,0,
1,0,1,1,42.0
1,1,0,0,3.0
0,0,1,1,184.0
1,0,1,1,5.0
1,0,1,0,
1,0,1,1,8.0
1,0,1,1,17.0
1,0,1,0,29.0
1,0,1,1,40.0
1,0,0,0,
1,1,1,0,38.0
1,0,0,0,80.0
1,0,1,1,31.0
1,0,1,1,238.0
1,0,1,0,
1,0,1,0,62.0
1,0,1,0,51.0
1,0,0,1,19.0
0,0,1,1,
1,1,0,0,
1,1,0,0,3.0
1,0,1,0,203.0
1,0,1,1,16.0
1,1,0,0,5.0
1,1,1,0,149.0
1,0,1,0,10.0
1,0,0,0,130.0
1,0,1,0,14.0
0,1,1,0,15.0
1,0,0,1,
1,1,1,0,7.0
1,0,1,0,
1,1,1,1,47.0
1,0,1,0,
1,0,1,0,
1,0,1,0,40.0
1,1,1,1,
1,0,1,1,
1,0,0,1,
1,0,1,0,72.0
1,0,1,1,10.0
1,0,1,0,163.0
1,0,1,0,
1,1,1,0,49.0
1,0,1,1,67.0
1,0,1,0,154.0
1,0,1,0,708.0
1,0,0,0,
1,1,1,0,94.0
1,0,1,0,220.0
1,0,0,0,18.0
1,0,1,1,739.0
1,0,1,0,
1,0,0,1,
1,0,0,0,21.0
1,0,0,0,
1,0,1,1,106.0
1,0,1,0,64.0
1,0,1,0,
1,0,0,0,50.0
1,1,1,0,10.0
1,1,1,1,10.0
1,1,1,0,183.0
1,0,1,1,81.0
1,1,1,0,20.0
1,0,0,0,
1,0,1,0,
1,0,0,0,48.0
1,0,0,1,176.0
1,0,1,0,
1,0,0,0,244.0
1,0,0,0,11.0
1,0,1,1,
1,1,0,0,
0,0,0,0,186.0
1,0,1,0,4.0
1,0,0,0,
1,0,1,1,27.0
1,0,0,1,13.0
1,1,1,0,
1,1,1,0,1.0
1,0,1,0,30.0
1,0,0,0,123.0
1,1,0,0,49.0
1,0,1,0,43.0
1,1,1,1,6.0
0,0,1,1,
1,0,1,0,51.0
1,0,0,0,
1,0,1,0,5.0
1,0,0,0,56.0
1,1,0,0,5.0
1,1,1,0,29.0
1,0,0,1,
1,0,1,0,
0,0,1,0,
1,0,1,1,15.0
1,0,0,0,
1,0,0,0,62.0
1,0,0,0,
1,0,0,0,
1,0,1,1,38.0
1,0,0,0,58.0
1,0,1,0,88.0
1,1,0,0,43.0
1,1,1,0,
1,0,0,1,27.0
1,0,0,1,9.0
1,0,1,0,99.0
1,0,1,1,
1,0,0,0,71.0
1,0,0,1,
1,0,1,0,92.0
1,0,1,1,
1,0,1,0,
1,0,1,0,46.0
1,1,0,1,
1,1,0,0,
1,0,0,0,17.0
1,1,1,0,58.0
1,0,1,1,
1,0,0,1,29.0
1,1,1,0,11.0
0,0,0,0,
1,0,0,0,507.0
1,1,1,1,
1,0,1,0,
1,0,0,0,81.0
1,0,1,0,88.0
1,0,1,0,57.0
1,0,1,1,
1,1,1,0,12.0
1,0,0,0,9.0
1,0,1,0,210.0
1,1,1,0,11.0
1,1,1,0,3.0
1,0,0,0,
1,0,1,0,
1,0,1,0,111.0
0,0,0,0,48.0
1,1,1,0,
1,1,1,0,36.0
1,0,1,1,26.0
1,0,0,0,9.0
1,0,0,0,38.0
1,0,1,0,141.0
1,0,0,0,2.0
1,1,1,0,8.0
1,0,0,1,36.0
1,0,0,1,24.0
1,0,1,0,14.0
1,0,1,1,
1,1,1,0,63.0
1,0,1,0,94.0
1,0,1,0,222.0
1,0,1,0,
1,0,0,0,273.0
1,0,1,0,141.0
1,0,0,0,67.0
1,1,1,1,77.0
0,0,1,0,186.0
0,1,0,0,23.0
1,0,1,1,
1,0,1,0,75.0
1,0,0,0,139.0
1,0,1,0,28.0
1,1,1,1,9.0
1,0,0,0,42.0
1,0,1,0,76.0
0,0,1,0,37.0
1,0,0,0,83.0
0,0,1,0,98.0
1,1,1,0,
1,0,0,0,
1,0,1,0,282.0
1,0,0,1,10.0
1,0,0,0,6.0
1,1,1,0,25.0
1,1,1,0,35.0
1,0,0,1,11.0
1,0,1,0,211.0
1,0,1,0,61.0
1,0,1,0,35.0
1,0,1,0,197.0
1,0,1,1,191.0
1,0,0,0,59.0
0,0,1,0,87.0
1,1,1,0,19.0
1,0,1,1,107.0
1,0,1,1,
1,0,0,1,
1,0,1,1,157.0
1,1,1,0,6.0
1,1,0,0,22.0
1,0,1,1,
1,1,1,0,
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,6.0
1,0,1,1,
1,0,1,1,
1,1,0,0,54.0
1,1,1,0,139.0
1,0,1,0,
1,0,1,0,66.0
1,1,1,0,47.0
1,0,0,0,4.0
1,0,1,0,
1,0,1,1,
1,1,1,0,18.0
1,0,1,0,260.0
1,0,1,0,222.0
1,1,0,0,4.0
1,0,0,1,505.0
1,0,1,0,745.0
1,0,1,0,63.0
1,1,1,0,1.0
1,1,1,0,23.0
1,0,0,0,
1,0,1,1,7.0
1,0,1,0,
1,0,1,0,63.0
1,0,1,0,13.0
1,0,1,0,
1,0,1,1,106.0
1,0,1,0,526.0
1,0,0,0,22.0
1,1,1,0,2.0
1,1,0,0,
1,0,1,0,
0,1,0,0,299.0
1,0,1,0,68.0
1,1,1,0,63.0
1,0,1,0,7.0
1,0,0,0,
1,0,1,0,47.0
1,0,0,0,4.0
1,0,0,1,
1,0,1,0,41.0
1,0,1,0,164.0
1,0,1,0,
1,0,0,0,204.0
1,1,1,0,32.0
1,1,1,0,8.0
1,0,1,0,
1,0,0,0,
0,0,0,0,
0,0,1,0,133.0
1,0,0,0,
1,1,1,0,63.0
1,0,1,0,252.0
1,1,1,0,15.0
1,0,1,1,
1,0,1,0,7.0
1,0,0,0,
1,0,1,0,
1,0,1,0,10.0
1,0,0,0,46.0
1,0,1,0,527.0
1,0,1,0,88.0
0,0,1,0,
1,0,0,0,120.0
1,0,0,0,
1,1,1,0,8.0
1,0,0,1,13.0
1,1,1,0,38.0
1,0,1,1,
1,1,0,1,87.0
1,0,1,1,40.0
1,0,0,0,
1,0,0,1,
1,0,0,0,
1,1,0,0,32.0
0,0,1,1,52.0
0,0,1,0,82.0
1,1,0,0,3.0
1,0,1,0,1.0
1,1,1,0,74.0
1,1,0,0,1.0
1,0,1,1,83.0
1,0,1,0,666.0
1,0,1,1,
1,0,0,0,103.0
1,0,1,0,19.0
1,0,1,0,98.0
1,1,1,0,13.0
1,1,1,0,98.0
1,0,1,0,177.0
0,1,1,0,284.0
1,1,1,1,21.0
1,0,1,1,
1,0,1,0,190.0
1,1,0,0,41.0
1,0,0,1,72.0
1,0,0,0,
1,0,1,0,
1,1,1,1,30.0
1,0,1,1,
1,0,1,0,40.0
1,0,1,1,
1,0,0,0,102.0
1,0,1,0,210.0
1,0,0,0,
1,1,1,0,28.0
1,0,0,0,288.0
1,0,1,1,
1,0,1,1,65.0
1,0,1,0,
1,0,0,1,
1,0,1,0,
1,0,1,0,
1,1,1,0,
1,0,0,0,
1,0,1,0,33.0
1,0,0,0,42.0
1,1,1,1,3.0
0,0,1,1,
1,0,1,1,4.0
1,1,1,0,62.0
1,0,1,0,
1,1,0,1,50.0
0,0,1,1,
1,0,1,0,244.0
1,1,1,0,4.0
1,0,0,0,27.0
1,0,1,0,
1,0,0,0,35.0
1,0,1,0,220.0
1,0,0,0,25.0
1,0,1,0,5.0
1,0,1,1,197.0
1,1,0,0,7.0
1,0,0,0,
1,0,1,1,
1,0,1,0,23.0
1,1,0,1,10.0
1,1,1,0,38.0
1,0,0,0,
1,1,0,0,3.0
1,0,1,0,
1,0,1,0,47.0
1,1,1,0,
0,1,0,0,
1,0,1,0,16.0
1,0,1,0,698.0
1,1,0,1,107.0
1,0,1,0,
1,0,1,0,23.0
1,0,1,1,
1,0,0,0,85.0
1,1,1,1,32.0
1,0,0,0,
1,0,1,0,
1,1,0,0,
1,0,0,0,
1,0,0,0,203.0
1,0,1,1,136.0
1,0,1,0,77.0
1,0,0,0,
1,1,0,1,20.0
1,0,0,0,10.0
1,0,0,0,
1,0,1,1,33.0
0,0,0,0,484.0
1,1,1,0,5.0
1,1,1,1,14.0
1,0,0,1,
1,0,0,0,
1,0,1,1,
1,0,1,0,77.0
1,0,0,1,
1,1,1,0,11.0
1,1,1,0,453.0
1,0,1,0,
1,0,1,0,40.0
1,0,1,0,
1,1,1,0,54.0
1,0,0,0,
1,0,0,1,158.0
1,0,0,1,
1,0,1,0,52.0
1,1,0,0,
1,1,1,0,
1,0,1,0,23.0
1,0,1,0,
1,0,1,0,
1,0,1,0,52.0
1,0,1,0,34.0
1,0,1,0,
1,0,1,0,14.0
1,0,1,0,39.0
1,0,1,0,266.0
1,0,1,0,27.0
1,0,1,0,110.0
1,0,0,0,30.0
1,0,1,0,
1,1,1,0,28.0
1,1,0,1,
1,1,0,0,
1,0,1,0,165.0
1,0,0,0,41.0
1,0,0,0,
1,1,1,0,5.0
1,0,1,0,274.0
1,0,1,0,
1,0,0,0,16.0
1,0,0,0,
1,1,1,0,3.0
1,0,0,1,6.0
1,1,1,0,1.0
1,0,1,0,383.0
1,0,0,0,102.0
1,0,1,0,
1,0,1,0,67.0
1,0,1,0,30.0
1,0,1,0,
1,0,1,1,37.0
1,1,0,0,
0,0,1,1,51.0
1,0,1,0,28.0
1,0,1,0,65.0
1,0,0,0,
1,0,1,0,
1,1,1,0,6.0
1,1,1,1,8.0
1,0,1,0,163.0
1,0,1,1,80.0
1,1,1,0,160.0
1,0,1,0,
1,0,0,0,44.0
1,1,1,1,1.0
1,0,1,1,13.0
1,0,0,0,
1,0,1,0,127.0
1,1,0,0,114.0
1,0,0,0,9.0
1,0,0,0,2.0
0,0,1,0,37.0
1,1,1,0,53.0
1,0,1,0,12.0
1,0,1,1,36.0
1,0,1,0,
1,1,1,0,4.0
1,0,1,0,
1,0,1,0,
1,0,1,1,46.0
1,0,1,0,
1,1,1,0,
1,0,1,0,
1,1,1,0,75.0
1,1,1,0,8.0
1,0,1,1,169.0
1,0,1,0,192.0
1,1,1,0,
1,1,1,1,39.0
1,1,0,0,
1,0,1,0,
1,0,1,0,67.0
1,0,0,0,99.0
1,0,0,0,36.0
1,0,0,1,
1,0,1,0,
1,0,1,0,
1,1,1,1,203.0
1,0,0,0,
1,1,0,0,18.0
1,0,1,0,
1,1,1,0,49.0
1,0,0,0,39.0
1,0,0,0,
1,1,1,1,14.0
1,0,1,1,98.0
1,0,0,0,
1,1,0,0,20.0
1,1,1,0,
1,0,1,1,34.0
1,0,0,0,20.0
1,1,1,0,54.0
1,1,1,0,176.0
1,1,1,1,6.0
1,1,1,1,26.0
1,0,0,0,
1,0,0,0,
1,0,1,0,9.0
1,0,1,0,51.0
1,0,0,1,
1,0,1,0,216.0
1,0,1,0,109.0
1,0,1,1,12.0
1,0,1,0,121.0
1,1,1,0,25.0
1,1,1,1,13.0
1,1,1,0,146.0
1,0,1,0,50.0
1,1,0,0,19.0
1,0,0,0,25.0
1,0,1,1,
1,0,1,1,
1,0,1,0,110.0
1,0,1,0,82.0
0,1,0,1,16.0
1,0,1,0,
1,0,0,0,42.0
1,0,0,0,186.0
1,0,0,0,
1,0,0,0,15.0
1,0,1,1,32.0
1,0,1,0,29.0
1,0,1,0,
1,0,1,1,279.0
1,0,0,1,
1,0,0,1,344.0
1,0,0,0,
1,1,1,0,25.0
1,1,1,0,
1,1,1,0,1.0
1,1,1,0,378.0
1,0,1,0,
1,1,1,0,3.0
1,0,1,0,
1,0,1,0,
1,1,1,0,46.0
1,0,1,0,
1,0,1,0,
1,1,1,0,
1,1,1,1,113.0
1,0,0,0,61.0
1,1,1,0,
1,1,1,1,82.0
1,0,1,0,53.0
1,0,0,0,1.0
1,0,1,0,10.0
1,1,1,0,75.0
1,0,1,1,
1,1,1,0,2.0
1,0,1,0,11.0
1,0,1,0,
1,0,0,1,
1,0,0,1,72.0
1,0,1,0,
1,0,0,0,40.0
1,0,1,0,5.0
1,0,0,0,
1,0,0,0,2.0
1,0,0,0,49.0
1,1,0,0,19.0
1,0,0,0,6.0
1,1,1,0,13.0
1,0,1,0,222.0
1,1,1,0,16.0
1,0,0,0,22.0
0,0,1,0,
1,0,0,0,
1,0,0,0,5.0
1,0,1,0,2.0
1,0,1,0,2.0
1,0,0,1,287.0
1,0,1,0,
0,0,1,1,105.0
0,0,0,0,10.0
1,0,1,0,111.0
1,0,1,1,
1,0,1,0,232.0
1,0,1,0,27.0
1,0,0,0,12.0
1,0,1,0,21.0
1,1,0,0,88.0
1,0,1,0,
1,0,0,0,
1,0,1,0,6.0
1,0,1,0,43.0
1,0,1,0,3.0
1,0,1,0,49.0
1,1,0,1,29.0
1,0,1,0,
1,0,1,0,
1,0,1,1,
1,1,0,1,53.0
1,1,1,0,15.0
1,0,1,1,
1,0,0,1,
1,0,1,0,45.0
1,0,1,0,
1,0,0,1,23.0
1,0,1,0,
1,0,1,0,
1,0,0,1,
1,0,0,1,35.0
1,1,1,0,14.0
1,1,1,0,2.0
1,0,1,0,
1,1,0,0,4.0
1,1,0,0,4.0
1,0,1,0,122.0
1,0,1,0,74.0
1,0,1,0,
1,0,0,0,26.0
1,0,0,0,
0,0,1,0,242.0
1,0,0,0,411.0
1,0,1,1,
1,0,1,1,
1,0,0,0,
1,0,1,0,16.0
1,1,1,0,3.0
1,0,0,0,98.0
1,0,0,0,53.0
1,0,0,1,20.0
1,0,1,1,32.0
1,0,0,1,
1,0,1,0,
1,1,1,0,124.0
1,0,0,1,17.0
1,0,0,0,39.0
1,0,0,1,
1,1,1,0,123.0
1,0,0,0,46.0
1,1,1,0,
1,0,1,1,214.0
1,0,1,1,
1,0,0,0,69.0
1,0,0,0,233.0
1,1,0,1,116.0
1,0,1,0,26.0
1,0,1,0,25.0
1,0,1,0,87.0
1,1,1,0,286.0
1,0,1,1,62.0
1,0,1,0,
1,1,1,0,36.0
1,1,1,1,33.0
1,0,0,0,
1,0,1,0,13.0
1,0,1,1,30.0
1,0,0,0,
1,0,1,0,102.0
1,1,0,0,338.0
1,0,0,0,58.0
1,0,1,0,20.0
1,0,1,0,499.0
1,0,1,1,
1,0,1,1,1.0
1,1,0,0,9.0
1,1,1,1,37.0
1,0,1,0,29.0
1,0,1,1,13.0
0,0,1,1,27.0
1,0,0,1,
1,0,1,1,
1,0,0,0,19.0
1,1,1,1,7.0
1,0,0,1,
1,0,0,0,9.0
1,0,1,1,807.0
0,0,1,0,5.0
1,0,0,1,338.0
1,0,1,0,
1,0,1,0,262.0
1,0,0,1,40.0
1,1,1,0,
0,0,0,1,27.0
1,1,1,0,4.0
1,0,0,0,150.0
1,0,0,1,
1,1,1,0,12.0
1,0,0,0,
1,0,1,1,12.0
1,0,1,0,31.0
1,0,0,0,274.0
1,0,0,1,
1,0,0,0,56.0
1,0,1,0,
0,0,0,0,724.0
1,1,0,0,75.0
1,0,1,0,
1,0,1,1,5.0
1,0,1,0,
1,0,0,0,314.0
1,0,1,1,5.0
1,0,1,0,
1,0,1,1,76.0
1,0,1,1,55.0
1,0,0,0,
1,1,1,0,90.0
0,0,1,0,93.0
1,0,1,1,40.0
1,0,1,1,
1,0,1,0,
1,0,1,1,
1,0,1,1,
1,1,0,0,8.0
1,1,1,0,21.0
1,0,1,0,22.0
1,1,1,0,7.0
1,0,1,0,149.0
1,0,0,0,42.0
1,0,1,0,
1,1,1,0,53.0
1,0,0,1,149.0
1,1,1,0,2.0
1,1,1,0,22.0
0,0,1,0,
1,0,1,0,25.0
1,0,1,0,
1,0,1,0,12.0
1,0,0,0,
1,0,1,0,116.0
1,0,0,0,65.0
1,0,1,1,4.0
1,0,1,0,79.0
1,1,1,0,28.0
1,0,1,0,5.0
1,0,1,0,48.0
1,0,0,0,
1,1,1,0,8.0
1,0,1,0,
1,0,0,1,91.0
1,0,1,0,127.0
1,1,1,1,2.0
1,0,1,0,144.0
1,1,1,0,4.0
1,0,1,1,
1,1,0,1,127.0
1,1,0,0,8.0
1,1,0,0,3.0
1,0,1,1,55.0
1,0,1,1,54.0
1,0,0,0,75.0
1,1,1,0,7.0
1,1,0,0,13.0
0,0,0,0,
0,0,0,0,
1,1,0,0,76.0
0,0,0,1,
1,0,1,0,139.0
1,0,1,0,76.0
1,1,0,1,24.0
1,0,0,0,7.0
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,37.0
1,0,0,0,29.0
1,0,1,0,
1,0,1,0,259.0
1,0,1,0,71.0
1,0,0,0,
1,0,1,0,33.0
1,0,1,0,
1,0,1,0,
1,0,0,0,
0,0,1,1,152.0
1,0,0,1,1.0
1,0,1,1,29.0
1,1,1,0,3.0
1,0,1,1,59.0
1,0,1,0,77.0
0,1,1,0,42.0
1,0,1,0,35.0
1,0,0,0,34.0
1,0,0,0,26.0
1,0,0,0,77.0
1,0,1,1,
1,0,1,1,131.0
1,1,1,1,29.0
1,0,1,1,63.0
1,0,0,1,
1,0,0,0,20.0
1,0,0,0,20.0
1,0,1,0,206.0
1,0,1,1,5.0
1,0,1,1,104.0
0,0,1,1,127.0
1,0,1,1,41.0
1,1,1,0,15.0
1,0,0,0,37.0
1,0,0,0,14.0
1,0,1,0,47.0
1,0,1,0,83.0
1,1,0,0,178.0
1,0,0,1,
1,0,0,0,3.0
1,0,0,0,42.0
0,1,1,0,
1,0,1,0,
1,0,0,0,12.0
1,1,1,1,184.0
1,0,1,0,75.0
1,0,1,0,377.0
1,0,1,0,201.0
1,0,1,0,2.0
1,0,1,0,77.0
1,0,0,0,135.0
1,1,1,0,
1,1,0,0,13.0
1,0,0,0,243.0
1,0,1,0,
1,0,1,0,26.0
1,1,1,1,1.0
1,0,1,0,
1,0,1,0,27.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,0,0,
1,1,0,0,171.0
1,0,1,0,48.0
1,0,1,0,258.0
1,0,1,0,169.0
1,0,1,0,287.0
1,0,0,0,10.0
1,0,1,0,21.0
1,0,1,0,475.0
1,1,1,1,7.0
1,1,1,0,13.0
0,0,0,1,209.0
1,0,1,1,56.0
1,0,1,0,
1,1,0,0,45.0
1,1,1,0,4.0
1,0,0,0,27.0
1,0,0,1,55.0
1,1,0,0,6.0
1,0,1,1,101.0
1,0,1,0,
1,0,1,0,
1,1,1,1,1.0
1,1,1,0,1.0
1,0,1,0,65.0
1,0,1,0,12.0
1,0,0,0,28.0
1,0,1,1,571.0
1,0,1,0,44.0
1,0,1,0,
1,1,0,0,
1,0,1,0,
1,1,1,0,135.0
1,0,0,0,
1,1,0,0,
1,0,1,0,
1,0,0,0,
1,0,1,0,13.0
1,0,0,1,22.0
1,1,1,0,18.0
1,0,1,1,
1,1,0,0,60.0
1,1,1,0,27.0
1,0,0,1,13.0
1,0,1,0,313.0
1,1,1,0,
1,0,1,0,17.0
1,0,0,1,181.0
1,0,0,0,18.0
1,1,1,1,
1,1,0,0,22.0
1,0,1,0,
1,1,1,0,5.0
1,1,1,0,64.0
1,0,1,1,
0,0,0,0,
1,0,1,0,
1,0,0,0,
1,0,0,0,177.0
1,1,0,1,9.0
1,0,0,0,
1,0,1,0,
1,0,1,0,105.0
1,0,1,1,
1,0,1,0,38.0
1,0,1,0,
1,1,1,0,123.0
1,0,0,0,
0,0,0,0,9.0
1,0,1,0,
1,1,1,0,59.0
1,1,1,0,21.0
1,1,1,1,48.0
1,0,1,0,
1,0,1,1,159.0
1,0,0,0,18.0
1,0,1,0,24.0
1,0,0,0,
0,0,1,1,11.0
1,1,1,0,3.0
1,0,1,0,
1,1,1,0,
1,1,1,0,76.0
1,1,1,0,83.0
1,1,1,0,8.0
1,0,0,0,70.0
1,1,1,0,25.0
1,0,1,0,
1,1,0,0,8.0
1,0,0,0,36.0
1,0,1,1,74.0
1,0,1,0,73.0
1,0,1,1,48.0
1,1,1,0,4.0
1,0,1,0,74.0
1,1,0,0,
1,1,0,0,104.0
1,1,1,0,29.0
1,1,1,0,200.0
1,0,0,0,65.0
1,0,1,1,
1,1,1,0,68.0
1,0,1,0,
0,0,0,0,
1,0,1,1,127.0
1,0,0,1,
1,0,0,0,106.0
1,1,1,0,13.0
1,1,0,0,1.0
1,0,1,0,
1,0,1,0,
1,0,0,0,29.0
0,0,0,0,
1,0,0,0,
1,0,0,0,
1,1,1,0,31.0
1,1,0,0,16.0
1,0,1,0,
1,0,0,0,8.0
1,0,1,0,44.0
1,0,1,0,14.0
1,0,1,0,50.0
1,0,1,0,140.0
1,1,1,0,6.0
1,1,0,0,4.0
1,0,0,1,96.0
1,0,0,1,12.0
1,0,0,0,
1,1,0,1,33.0
1,0,1,1,42.0
1,1,1,0,73.0
1,0,0,1,135.0
1,0,0,0,
1,0,1,0,172.0
1,0,1,1,121.0
1,0,1,1,70.0
1,0,1,1,347.0
1,0,1,0,
1,0,1,1,
1,1,0,0,46.0
1,0,1,0,141.0
1,0,1,1,
1,1,1,0,10.0
1,1,1,1,27.0
1,0,0,0,178.0
1,0,1,0,47.0
1,0,1,0,73.0
1,0,1,1,
1,1,0,1,192.0
1,0,0,0,
1,0,1,1,
1,0,1,0,20.0
1,0,1,0,112.0
1,0,1,0,
1,1,1,1,157.0
1,0,0,0,
1,1,0,0,38.0
1,0,1,0,30.0
1,1,1,0,4.0
1,0,0,1,
1,0,1,1,31.0
1,1,1,0,
1,0,1,0,
1,0,0,1,5.0
1,0,1,0,68.0
1,0,1,0,262.0
1,1,1,1,2.0
0,1,1,0,
1,0,0,0,49.0
1,0,1,0,61.0
1,0,1,0,325.0
1,0,1,0,79.0
1,0,0,0,
1,0,1,0,71.0
1,0,1,1,46.0
1,1,0,1,2.0
1,0,1,0,25.0
1,0,0,0,8.0
1,0,1,0,50.0
1,1,0,1,31.0
1,0,1,1,
1,0,0,1,
1,0,1,1,
1,0,0,0,17.0
1,0,0,0,72.0
1,0,0,0,
0,0,0,0,
1,1,1,1,38.0
1,0,1,0,41.0
1,0,1,0,
1,0,0,0,
1,0,1,1,64.0
